"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Aaron Dell","16-17","S.J","G",20,1110.55,36.83,529.11,751.2,46.19,93.04,95.1,93.85,1.25,8.91,9.36
"Aaron Dell","17-18","S.J","G",29,1522.08,66.42,763.42,1064.21,67.52,91.3,93.76,93.66,0.1,0.54,1.1
"Aaron Dell","18-19","S.J","G",25,1323.28,68.73,613.65,857.04,61.18,88.8,91.98,92.86,-0.88,-13.41,-7.55
"Aaron Dell","19-20","S.J","G",33,1834.23,91.06,994.37,1352.1,92.16,90.84,93.27,93.18,0.08,-1.2,1.1
"Aaron Dell","20-21","N.J","G",7,319.17,21.45,153.29,210.23,11.91,86.01,89.8,94.33,-4.54,-7.35,-9.54
"Aaron Dell","21-22","BUF","G",12,565.38,37.95,356.65,467.99,30.45,89.36,91.89,93.49,-1.6,-4.85,-7.5
"Aaron Dell","22-23","S.J","G",4,199.28,8.82,104.75,133.98,11.7,91.58,93.42,91.27,2.15,1.2,2.88
"Adam Huska","21-22","NYR","G",1,59.7,7.53,42.56,55.97,3.5,82.31,86.55,93.75,-7.2,-3.58,-4.03
"Adam Werner","19-20","COL","G",2,87.83,4.85,54.22,65.83,3.76,91.05,92.63,94.29,-1.66,0.05,-1.09
"Adin Hill","17-18","ARI","G",4,240.75,14.13,133.5,187.57,13.54,89.42,92.47,92.78,-0.31,-2.42,-0.59
"Adin Hill","18-19","ARI","G",13,696.35,32,320.92,469.67,31.05,90.03,93.19,93.39,-0.2,-3.07,-0.95
"Adin Hill","19-20","ARI","G",13,640.77,27.41,344.91,489.51,27.68,92.05,94.4,94.35,0.06,3.75,0.27
"Adin Hill","20-21","ARI","G",19,1005.9,45.09,525.84,721.37,44.98,91.43,93.75,93.76,-0.02,3.31,-0.11
"Adin Hill","21-22","S.J","G",25,1375.95,62.41,665.7,927.62,55.5,90.62,93.27,94.02,-0.74,-0.63,-6.91
"Adin Hill","22-23","VGK","G",27,1490.9,61.93,728.23,1053.69,69.47,91.5,94.12,93.41,0.72,7.73,7.54
"Adin Hill","23-24","VGK","G",35,1968.82,89.98,982.57,1465.78,97.77,90.84,93.86,93.33,0.53,4.96,7.79
"Adin Hill","24-25","VGK","G",50,2940.22,121.28,1286.52,2013.72,133.07,90.57,93.98,93.39,0.59,7.46,11.79
"Akira Schmid","21-22","N.J","G",6,235.98,18.53,114.44,150.54,8.87,83.81,87.69,94.11,-6.42,-7.9,-9.66
"Akira Schmid","22-23","N.J","G",18,901.35,32.12,404.49,575.42,40.59,92.06,94.42,92.95,1.47,6.57,8.47
"Akira Schmid","23-24","N.J","G",19,914.15,49.2,467.72,651.44,47.19,89.48,92.45,92.76,-0.31,-4,-2.01
"Akira Schmid","24-25","VGK","G",5,238.1,4.62,88.74,150.52,8.65,94.79,96.93,94.25,2.68,4.26,4.03
"Al Montoya","08-09","ARI","G",5,259.47,8.91,116.38,164.13,9.34,92.34,94.57,94.31,0.26,1.74,0.43
"Al Montoya","10-11","NYI","G",20,1153.78,46.25,586.74,845.63,62,92.12,94.53,92.67,1.86,4.93,15.75
"Al Montoya","11-12","NYI","G",31,1719.7,89.53,834.35,1142.03,81.52,89.27,92.16,92.86,-0.7,-17.32,-8.01
"Al Montoya","12-13","WPG","G",7,351.35,17.6,172.64,259.49,14.14,89.81,93.22,94.55,-1.33,-2.39,-3.46
"Al Montoya","13-14","WPG","G",28,1540.9,57.68,738.24,1005.46,61.86,92.19,94.26,93.85,0.42,5.8,4.18
"Al Montoya","14-15","FLA","G",20,976.93,48.66,456,658.27,41.28,89.33,92.61,93.73,-1.12,-9.78,-7.38
"Al Montoya","15-16","FLA","G",25,1351.23,48.07,600.76,854.62,52.93,92,94.38,93.81,0.57,3.12,4.86
"Al Montoya","16-17","MTL","G",19,1124.88,48.28,566.16,765.31,47.06,91.47,93.69,93.85,-0.16,0.67,-1.22
"Al Montoya","17-18","EDM","G",9,469.22,22.98,247.05,333.35,21.59,90.7,93.11,93.52,-0.42,-1.31,-1.39
"Al Montoya","17-18","MTL","G",4,222.52,13.23,98.1,140.97,9.84,86.51,90.62,93.02,-2.4,-4.62,-3.39
"Aleksei Kolosov","24-25","PHI","G",17,901.92,54.47,415.18,643.82,43.38,86.88,91.54,93.26,-1.72,-12.92,-11.09
"Alex Auld","07-08","ARI","G",9,508.97,30.72,254.3,349.99,20.03,87.92,91.22,94.28,-3.05,-7.57,-10.69
"Alex Auld","07-08","BOS","G",22,1152.75,44.83,551.6,766.08,47.35,91.87,94.15,93.82,0.33,5.39,2.52
"Alex Auld","08-09","OTT","G",43,2449.43,99.43,1138.11,1570.61,95.34,91.26,93.67,93.93,-0.26,4.7,-4.09
"Alex Auld","09-10","DAL","G",21,1181.02,58.18,557.17,807.25,44.06,89.56,92.79,94.54,-1.75,-8.75,-14.12
"Alex Auld","09-10","NYR","G",3,118.52,4.88,54.35,73.1,4.14,91.02,93.32,94.34,-1.01,-0.06,-0.74
"Alex Auld","10-11","MTL","G",16,748.58,32.81,381.15,546.49,37.73,91.39,94,93.1,0.9,0.44,4.92
"Alex Auld","11-12","OTT","G",14,645.03,36.8,325.36,455.8,29.6,88.69,91.93,93.51,-1.58,-8.65,-7.2
"Alex Lyon","17-18","PHI","G",11,479.8,21.55,234.04,332.88,20.99,90.79,93.53,93.69,-0.17,-1.02,-0.56
"Alex Lyon","19-20","PHI","G",3,135.32,8.29,77.42,102.29,7.32,89.29,91.9,92.84,-0.95,-1.29,-0.97
"Alex Lyon","20-21","PHI","G",6,324.15,18.19,171.55,231.62,13.6,89.4,92.15,94.13,-1.98,-2.4,-4.59
"Alex Lyon","21-22","CAR","G",2,122.82,6.18,67.16,97.83,8.05,90.8,93.68,91.77,1.91,0.05,1.87
"Alex Lyon","22-23","FLA","G",15,893.18,42.8,488.17,681.65,53.82,91.23,93.72,92.1,1.62,3.89,11.02
"Alex Lyon","23-24","DET","G",44,2498.85,127.17,1333.34,1923.2,128.18,90.46,93.39,93.34,0.05,1.66,1.01
"Alex Lyon","24-25","DET","G",30,1559.63,72.25,702.86,1090.89,77.84,89.72,93.38,92.86,0.51,-1.91,5.59
"Alex Nedeljkovic","19-20","CAR","G",4,216.32,11.2,100.51,134.2,9.27,88.86,91.65,93.09,-1.44,-2.12,-1.93
"Alex Nedeljkovic","20-21","CAR","G",23,1392.03,43.43,632.33,880.97,56.68,93.13,95.07,93.57,1.5,14.76,13.25
"Alex Nedeljkovic","21-22","DET","G",59,3230.8,180.28,1830.85,2425.82,168.76,90.15,92.57,93.04,-0.47,-10.36,-11.52
"Alex Nedeljkovic","22-23","DET","G",15,832.63,48.96,475.79,660.43,42.05,89.71,92.59,93.63,-1.05,-3.45,-6.91
"Alex Nedeljkovic","23-24","PIT","G",38,2060.47,101,1023.04,1515.45,101.57,90.13,93.34,93.3,0.04,-2.14,0.57
"Alex Nedeljkovic","24-25","PIT","G",38,2150.85,112.92,1068.82,1582.7,109.18,89.44,92.87,93.1,-0.24,-5.96,-3.74
"Alex Salak","09-10","FLA","G",2,66.58,5.83,42.52,60.63,4.54,86.29,90.38,92.51,-2.13,-2.06,-1.29
"Alex Stalock","13-14","S.J","G",24,1232.95,36.95,560.46,760.7,43.52,93.41,95.14,94.28,0.86,11.25,6.57
"Alex Stalock","14-15","S.J","G",22,1236.5,54.26,556.45,767.85,51.19,90.25,92.93,93.33,-0.4,-6.81,-3.07
"Alex Stalock","15-16","S.J","G",13,674.13,33.22,290.59,384.93,24.23,88.57,91.37,93.71,-2.34,-8.46,-8.99
"Alex Stalock","16-17","MIN","G",2,118.92,2.99,53.89,76.18,4.45,94.45,96.08,94.16,1.92,1.66,1.46
"Alex Stalock","17-18","MIN","G",28,1495.27,69.16,784.45,1127.65,61.78,91.18,93.87,94.52,-0.65,-0.36,-7.38
"Alex Stalock","18-19","MIN","G",21,1065.1,53.77,547.06,784.01,44.61,90.17,93.14,94.31,-1.17,-4.46,-9.16
"Alex Stalock","19-20","MIN","G",38,2177.35,96.79,1062.14,1479.66,80.15,90.89,93.46,94.58,-1.12,-0.82,-16.64
"Alex Stalock","22-23","CHI","G",27,1475.33,75.49,820.33,1126.92,75.13,90.8,93.3,93.33,-0.03,2.98,-0.36
"Alexandar Georgiev","17-18","NYR","G",10,514.77,27.46,337.69,444.9,28.73,91.87,93.83,93.54,0.29,2.16,1.27
"Alexandar Georgiev","18-19","NYR","G",33,1874.17,90.28,1060.07,1471.99,99.51,91.48,93.87,93.24,0.63,5.28,9.23
"Alexandar Georgiev","19-20","NYR","G",34,1891.73,96.56,1065.09,1484.47,98.47,90.93,93.5,93.37,0.13,-0.32,1.91
"Alexandar Georgiev","20-21","NYR","G",19,973.93,43.97,463.67,667.65,40.87,90.52,93.41,93.88,-0.46,-1.3,-3.1
"Alexandar Georgiev","21-22","NYR","G",33,1746.1,84.06,833.1,1190.45,78.76,89.91,92.94,93.38,-0.45,-6.74,-5.3
"Alexandar Georgiev","22-23","COL","G",62,3700.33,155.74,1879.89,2506.55,173.03,91.72,93.79,93.1,0.69,24.08,17.29
"Alexandar Georgiev","23-24","COL","G",63,3637.95,183.71,1772.51,2517.89,183.5,89.64,92.7,92.71,-0.01,-12.45,-0.21
"Alexandar Georgiev","24-25","COL","G",18,940.88,53.95,435.92,621.45,47.05,87.62,91.32,92.43,-1.11,-10.33,-6.9
"Alexandar Georgiev","24-25","S.J","G",31,1730.92,112.98,914.55,1366.03,108.16,87.65,91.73,92.08,-0.35,-21.46,-4.82
"Alexei Melnichuk","20-21","S.J","G",3,130.58,11.62,89.24,110.88,9.3,86.98,89.52,91.61,-2.09,-3.4,-2.32
"Allen York","11-12","CBJ","G",11,416.7,15.67,200.11,267.82,14.72,92.17,94.15,94.5,-0.35,1.64,-0.95
"Anders Lindback","10-11","NSH","G",22,1131.05,47.6,560.06,781.7,44.46,91.5,93.91,94.31,-0.4,1.25,-3.14
"Anders Lindback","11-12","NSH","G",16,792.42,31.88,371.17,543.14,34.54,91.41,94.13,93.64,0.49,0.25,2.66
"Anders Lindback","12-13","T.B","G",24,1304.18,63.1,648.28,924.11,54.15,90.27,93.17,94.14,-0.97,-5.99,-8.95
"Anders Lindback","13-14","T.B","G",23,1302.32,62.34,582.78,858.94,51.69,89.3,92.74,93.98,-1.24,-12.23,-10.65
"Anders Lindback","14-15","BUF","G",16,890.98,40.56,546.78,749.55,38.46,92.58,94.59,94.87,-0.28,6.07,-2.1
"Anders Lindback","14-15","DAL","G",10,516.98,32.23,261.73,352.4,22.68,87.69,90.85,93.56,-2.71,-9.91,-9.55
"Anders Lindback","15-16","ARI","G",19,906.13,47.89,458.9,640.04,37.9,89.56,92.52,94.08,-1.56,-8.79,-9.99
"Anders Nilsson","11-12","NYI","G",4,217.8,10.21,118.65,156.51,11.69,91.39,93.48,92.53,0.95,0.06,1.48
"Anders Nilsson","13-14","NYI","G",19,1101.17,57.11,552.47,802.94,56.64,89.66,92.89,92.95,-0.06,-9.6,-0.47
"Anders Nilsson","15-16","EDM","G",26,1413.28,72.76,746.49,1036.54,68.37,90.25,92.98,93.4,-0.42,-9.16,-4.39
"Anders Nilsson","15-16","STL","G",3,87.3,3.99,44.07,59.97,4.67,90.95,93.35,92.21,1.13,-0.24,0.68
"Anders Nilsson","16-17","BUF","G",26,1484.25,64.98,858.16,1196.08,75.82,92.43,94.57,93.66,0.91,9.21,10.84
"Anders Nilsson","17-18","VAN","G",27,1463.68,84.13,863.71,1170.63,73.55,90.26,92.81,93.72,-0.9,-8.37,-10.58
"Anders Nilsson","18-19","OTT","G",24,1321.87,63.57,746.08,1047.14,59.49,91.48,93.93,94.32,-0.39,3.69,-4.08
"Anders Nilsson","18-19","VAN","G",12,717.93,37.14,361.5,512.33,32.62,89.73,92.75,93.63,-0.88,-4.55,-4.52
"Anders Nilsson","19-20","OTT","G",20,1093.27,57.3,620.99,825.69,50.51,90.77,93.06,93.88,-0.82,-1.18,-6.79
"Andrei Vasilevskiy","14-15","T.B","G",16,864.12,33.25,412.93,563.48,32.61,91.95,94.1,94.21,-0.11,1.96,-0.64
"Andrei Vasilevskiy","15-16","T.B","G",24,1258.63,56.9,635.74,886.07,49.8,91.05,93.58,94.38,-0.8,-2.73,-7.1
"Andrei Vasilevskiy","16-17","T.B","G",50,2831.27,125.16,1500.55,2007.44,113.59,91.66,93.77,94.34,-0.58,4.56,-11.57
"Andrei Vasilevskiy","17-18","T.B","G",65,3825.18,168.43,2050.46,2734.75,151.69,91.79,93.84,94.45,-0.61,11.42,-16.74
"Andrei Vasilevskiy","18-19","T.B","G",53,3203.75,128.53,1692.69,2268.18,135.55,92.41,94.33,94.02,0.31,24.06,7.02
"Andrei Vasilevskiy","19-20","T.B","G",52,3121.9,132.82,1578.79,2096.53,124.53,91.59,93.66,94.06,-0.4,9.84,-8.29
"Andrei Vasilevskiy","20-21","T.B","G",42,2523.62,91.62,1207.78,1608.44,104.66,92.41,94.3,93.49,0.81,19.53,13.04
"Andrei Vasilevskiy","21-22","T.B","G",63,3760.75,154.97,1862.28,2561.07,172.88,91.68,93.95,93.25,0.7,17.87,17.91
"Andrei Vasilevskiy","22-23","T.B","G",60,3596.42,159.52,1877.06,2543.29,185.93,91.5,93.73,92.69,1.04,20.03,26.41
"Andrei Vasilevskiy","23-24","T.B","G",52,3062.87,148.77,1469.07,2065.07,147.53,89.87,92.8,92.86,-0.06,-6.82,-1.24
"Andrei Vasilevskiy","24-25","T.B","G",63,3743.08,134.78,1688.29,2455.29,163.62,92.02,94.51,93.34,1.17,34.17,28.84
"Andrew Hammond","14-15","OTT","G",24,1410.98,42.75,700.14,958.05,56.47,93.89,95.54,94.11,1.43,16.95,13.72
"Andrew Hammond","15-16","OTT","G",24,1382.32,61.72,721.31,999.47,62.68,91.44,93.82,93.73,0.1,-0.27,0.96
"Andrew Hammond","16-17","OTT","G",6,190.08,13.37,85.73,122.96,9.21,84.4,89.13,92.51,-3.38,-5.96,-4.16
"Andrew Hammond","17-18","COL","G",1,58.37,2.13,36.68,51.14,3.54,94.19,95.83,93.08,2.76,1.09,1.41
"Andrew Hammond","21-22","MTL","G",4,200.17,7.58,96.13,139.34,10.94,92.11,94.56,92.15,2.41,1.34,3.36
"Andrew Hammond","21-22","N.J","G",7,386.3,30.69,217.92,296.34,21.12,85.92,89.64,92.87,-3.23,-10.46,-9.57
"Andrew Raycroft","07-08","TOR","G",19,964.7,64.72,520.46,726.07,51.81,87.56,91.09,92.86,-1.78,-17.34,-12.91
"Andrew Raycroft","08-09","COL","G",31,1722.43,90.57,847.8,1216.42,67.76,89.32,92.55,94.43,-1.88,-13,-22.81
"Andrew Raycroft","09-10","VAN","G",21,967.08,37.77,434.2,618.78,35.44,91.3,93.9,94.27,-0.38,0.75,-2.33
"Andrew Raycroft","10-11","DAL","G",19,847.17,38.79,447.25,600.54,36.79,91.33,93.54,93.87,-0.33,0.23,-2
"Andrew Raycroft","11-12","DAL","G",10,529.38,31.21,312.23,421.36,23.79,90,92.59,94.35,-1.76,-4.19,-7.42
"Andrey Makarov","14-15","BUF","G",1,60,2.91,37.06,55.55,4.09,92.15,94.76,92.64,2.12,0.25,1.18
"Antero Niittymaki","07-08","PHI","G",28,1424.87,70.5,739.17,990.61,61.37,90.46,92.88,93.8,-0.92,-3.21,-9.13
"Antero Niittymaki","08-09","PHI","G",32,1805.25,82.66,940.09,1309.25,86.37,91.21,93.69,93.4,0.28,3.35,3.71
"Antero Niittymaki","09-10","T.B","G",49,2657.18,127.69,1407.41,1944.54,124.46,90.93,93.43,93.6,-0.17,-2.83,-3.23
"Antero Niittymaki","10-11","S.J","G",24,1414.47,63.87,616.7,874.65,58.06,89.64,92.7,93.36,-0.66,-10.08,-5.81
"Anthony Stolarz","16-17","PHI","G",7,376.08,12.97,180.75,243.62,15.75,92.82,94.68,93.54,1.14,2.65,2.78
"Anthony Stolarz","18-19","EDM","G",6,238.68,15.57,160.58,206.78,13.9,90.3,92.47,93.28,-0.81,-1.09,-1.67
"Anthony Stolarz","18-19","PHI","G",12,629.73,34.6,362.44,460.51,29.16,90.45,92.49,93.67,-1.18,-1.93,-5.44
"Anthony Stolarz","19-20","ANA","G",1,58.55,2.05,37.69,52.91,3.03,94.56,96.13,94.27,1.85,1.36,0.98
"Anthony Stolarz","20-21","ANA","G",8,464.3,16.98,226.85,305.8,18.64,92.51,94.45,93.9,0.54,3.89,1.66
"Anthony Stolarz","21-22","ANA","G",28,1506.42,67.02,817.13,1120.82,71.57,91.8,94.02,93.61,0.41,8.82,4.55
"Anthony Stolarz","22-23","ANA","G",19,820.05,50.45,503.44,699.14,52.68,89.98,92.78,92.47,0.32,-2.3,2.23
"Anthony Stolarz","23-24","FLA","G",27,1506.45,50.8,668.86,997.45,72.5,92.4,94.91,92.73,2.18,13.83,21.7
"Anthony Stolarz","24-25","TOR","G",34,1986.9,70.29,944.36,1485.13,101.49,92.56,95.27,93.17,2.1,24.22,31.2
"Antoine Bibeau","16-17","TOR","G",2,120.65,4.14,56.17,88.49,4.67,92.63,95.32,94.72,0.6,0.72,0.53
"Antoine Bibeau","19-20","COL","G",2,91.75,4.79,40.3,64.62,4.22,88.11,92.59,93.47,-0.88,-1.15,-0.57
"Anton Forsberg","14-15","CBJ","G",5,255.72,20.68,157.64,191.2,15.98,86.88,89.18,91.64,-2.46,-7.24,-4.7
"Anton Forsberg","15-16","CBJ","G",4,178.15,8.74,100.85,133.89,10.42,91.33,93.47,92.22,1.25,-0.15,1.68
"Anton Forsberg","17-18","CHI","G",35,1714.78,84.86,927.54,1209.65,80.17,90.85,92.98,93.37,-0.39,-3.5,-4.69
"Anton Forsberg","19-20","CAR","G",3,143.15,7.99,80.05,100.47,6.42,90.02,92.05,93.61,-1.56,-0.76,-1.57
"Anton Forsberg","20-21","OTT","G",8,448.55,23.71,266.15,362.06,23.63,91.09,93.45,93.47,-0.02,0.78,-0.08
"Anton Forsberg","21-22","OTT","G",46,2571.45,119.85,1437.92,1932.3,131.34,91.67,93.8,93.2,0.59,13.6,11.49
"Anton Forsberg","22-23","OTT","G",28,1471.72,80.51,822.75,1140.15,83.45,90.21,92.94,92.68,0.26,-1.81,2.94
"Anton Forsberg","23-24","OTT","G",30,1569.75,86.78,774.88,1084.25,83.09,88.8,92,92.34,-0.34,-11.91,-3.69
"Anton Forsberg","24-25","OTT","G",30,1676.53,76.36,779.44,1159.24,76.09,90.2,93.41,93.44,-0.02,1.65,-0.27
"Anton Khudobin","09-10","MIN","G",2,69.45,1.01,48.18,61.22,3.46,97.9,98.35,94.35,4,3.26,2.45
"Anton Khudobin","10-11","MIN","G",4,188.73,5.17,83.96,113.99,6.23,93.84,95.46,94.53,0.93,2.16,1.06
"Anton Khudobin","11-12","BOS","G",1,60,0.94,40.69,57.07,2.7,97.69,98.35,95.27,3.08,2.58,1.76
"Anton Khudobin","12-13","BOS","G",14,803,30.32,373.96,510.81,28.37,91.89,94.06,94.45,-0.38,2.62,-1.95
"Anton Khudobin","13-14","CAR","G",36,2084.3,80.15,1072,1540.58,96.14,92.52,94.8,93.76,1.04,12.03,15.99
"Anton Khudobin","14-15","CAR","G",34,1920.35,86.26,893.72,1272.81,85.83,90.35,93.22,93.26,-0.03,-10.05,-0.43
"Anton Khudobin","15-16","ANA","G",9,356.33,16.51,176.85,253.69,18.76,90.66,93.49,92.61,0.89,-1.45,2.25
"Anton Khudobin","16-17","BOS","G",16,884.78,39.91,415.3,574.81,36.9,90.39,93.06,93.58,-0.52,-4.01,-3.01
"Anton Khudobin","17-18","BOS","G",31,1780.72,75.13,863.7,1194.88,74.18,91.3,93.71,93.79,-0.08,0.62,-0.95
"Anton Khudobin","18-19","DAL","G",41,2219.5,94.58,1233.47,1691.67,103.15,92.33,94.41,93.9,0.51,16.61,8.57
"Anton Khudobin","19-20","DAL","G",30,1677.48,60.54,872.25,1181.56,66.69,93.06,94.88,94.36,0.52,18.28,6.15
"Anton Khudobin","20-21","DAL","G",32,1794.62,76.42,795.06,1134.39,66.62,90.39,93.26,94.13,-0.86,-3.26,-9.8
"Anton Khudobin","21-22","DAL","G",9,462.47,27.15,229.71,308.24,19.37,88.18,91.19,93.72,-2.52,-5.83,-7.78
"Antti Niemi","08-09","CHI","G",3,141.32,8.45,62.35,75.13,5.38,86.45,88.75,92.84,-4.09,-2.75,-3.07
"Antti Niemi","09-10","CHI","G",39,2190.92,81.05,905.48,1212.81,81.85,91.05,93.32,93.25,0.07,-0.72,0.8
"Antti Niemi","10-11","S.J","G",60,3523.9,138.84,1715.25,2350.53,142.5,91.91,94.09,93.94,0.16,10.78,3.66
"Antti Niemi","11-12","S.J","G",68,3934.12,158.58,1863.85,2633.02,155.27,91.49,93.98,94.1,-0.13,2.73,-3.31
"Antti Niemi","12-13","S.J","G",43,2580.77,92.3,1211.18,1707.33,102.48,92.38,94.59,94,0.6,14.39,10.18
"Antti Niemi","13-14","S.J","G",64,3740.28,146.6,1658.6,2364.13,137.8,91.16,93.8,94.17,-0.37,-3.98,-8.8
"Antti Niemi","14-15","S.J","G",61,3587.9,155.55,1795.29,2533.81,153.29,91.34,93.86,93.95,-0.09,-2.45,-2.26
"Antti Niemi","15-16","DAL","G",48,2654.38,118.12,1246.68,1809.77,119.79,90.53,93.47,93.38,0.09,-11.9,1.67
"Antti Niemi","16-17","DAL","G",37,1728.5,95.6,897.82,1283.37,85.99,89.35,92.55,93.3,-0.75,-17.98,-9.61
"Antti Niemi","17-18","FLA","G",2,58.7,5.47,45.19,57.26,3.88,87.9,90.45,93.22,-2.78,-1.5,-1.59
"Antti Niemi","17-18","MTL","G",19,1026.27,41.73,590.34,850.3,56.08,92.93,95.09,93.4,1.69,10.05,14.35
"Antti Niemi","17-18","PIT","G",3,128.13,15.63,82.3,107.34,7.76,81.01,85.44,92.77,-7.33,-8.41,-7.87
"Antti Niemi","18-19","MTL","G",17,968.8,59.83,534.49,710.83,42.18,88.81,91.58,94.07,-2.48,-11.65,-17.65
"Antti Raanta","13-14","CHI","G",25,1396.67,60.8,590.51,815.85,54.03,89.7,92.55,93.38,-0.83,-10.02,-6.77
"Antti Raanta","14-15","CHI","G",14,792.18,25.18,390.19,521.29,30.82,93.55,95.17,94.09,1.08,8.09,5.64
"Antti Raanta","15-16","NYR","G",25,1150.35,43.01,528.47,741.5,51.7,91.86,94.2,93.03,1.17,2.02,8.69
"Antti Raanta","16-17","NYR","G",30,1617.33,60.88,772.12,1067.37,67.61,92.12,94.3,93.67,0.63,5.87,6.73
"Antti Raanta","17-18","ARI","G",47,2599.05,98.07,1397.5,2044.37,123.21,92.98,95.2,93.97,1.23,24.51,25.14
"Antti Raanta","18-19","ARI","G",12,687.1,34.27,356.87,514.5,33.57,90.4,93.34,93.48,-0.14,-2.1,-0.7
"Antti Raanta","19-20","ARI","G",33,1822.9,79.87,1009.92,1426.51,85.51,92.09,94.4,94.01,0.4,11.39,5.64
"Antti Raanta","20-21","ARI","G",12,678.83,38.79,403.47,559.34,36.87,90.39,93.07,93.41,-0.34,-1.66,-1.92
"Antti Raanta","21-22","CAR","G",28,1516.63,61.32,698.86,963.1,69.76,91.23,93.63,92.76,0.88,3.54,8.44
"Antti Raanta","22-23","CAR","G",27,1561.22,56.59,621.76,862.53,62.07,90.9,93.44,92.8,0.64,2.88,5.48
"Antti Raanta","23-24","CAR","G",24,1265.18,63.49,499.54,719.64,55.6,87.29,91.18,92.27,-1.1,-15.22,-7.89
"Arturs Silovs","22-23","VAN","G",5,305.93,14.4,156.34,208.97,15.08,90.79,93.11,92.78,0.33,0.56,0.68
"Arturs Silovs","23-24","VAN","G",4,243.22,10.39,84.06,139.82,9.89,87.64,92.57,92.93,-0.36,-2.27,-0.5
"Arturs Silovs","24-25","VAN","G",10,542.52,33.46,244.98,369.23,24.9,86.34,90.94,93.26,-2.32,-8.94,-8.56
"Arvid Soderblom","21-22","CHI","G",3,155.82,13.73,104.9,141.13,8.38,86.91,90.27,94.06,-3.79,-4,-5.35
"Arvid Soderblom","22-23","CHI","G",15,835.23,50.08,478.44,661.3,47.58,89.53,92.43,92.81,-0.38,-4.31,-2.5
"Arvid Soderblom","23-24","CHI","G",32,1744.33,114.96,970.77,1384.55,101.97,88.16,91.7,92.64,-0.94,-21.16,-12.99
"Arvid Soderblom","24-25","CHI","G",36,2096.5,110.94,1091.59,1644.41,115.3,89.84,93.25,92.99,0.27,-1.71,4.36
"Ben Bishop","08-09","STL","G",6,244.98,11.66,113.01,177.91,11.51,89.68,93.45,93.53,-0.08,-1.32,-0.15
"Ben Bishop","10-11","STL","G",7,368.82,17.76,166.46,223.17,14.41,89.33,92.04,93.54,-1.5,-3.24,-3.35
"Ben Bishop","11-12","OTT","G",10,531.65,22.88,250.16,334.21,20.84,90.85,93.15,93.76,-0.61,-1.23,-2.04
"Ben Bishop","12-13","OTT","G",13,758.2,30.62,405.35,552.28,32.59,92.45,94.46,94.1,0.36,5.08,1.97
"Ben Bishop","12-13","T.B","G",9,502.43,25.27,303.95,424.7,25.52,91.69,94.05,93.99,0.06,1.5,0.25
"Ben Bishop","13-14","T.B","G",63,3586.35,131.99,1738.1,2443.48,144.05,92.41,94.6,94.1,0.49,17.47,12.06
"Ben Bishop","14-15","T.B","G",62,3519,135.38,1604.9,2243.13,133.32,91.56,93.96,94.06,-0.09,1.48,-2.06
"Ben Bishop","15-16","T.B","G",61,3584.63,122.73,1665.24,2333.14,130.59,92.63,94.74,94.4,0.34,19.15,7.86
"Ben Bishop","16-17","L.A","G",7,410.02,17.47,174.36,248.04,17.12,89.98,92.96,93.1,-0.14,-2.39,-0.35
"Ben Bishop","16-17","T.B","G",32,1812.6,77.11,861.37,1213.66,74.16,91.05,93.65,93.89,-0.24,-2.64,-2.95
"Ben Bishop","17-18","DAL","G",53,2886.83,120.82,1449.33,1999.22,124.44,91.66,93.96,93.78,0.18,6.31,3.62
"Ben Bishop","18-19","DAL","G",46,2637.3,87.55,1313,1825.73,109.29,93.33,95.2,94.01,1.19,30.82,21.74
"Ben Bishop","19-20","DAL","G",44,2473.82,104.14,1302.46,1783.74,109.85,92,94.16,93.84,0.32,13.56,5.71
"Ben Scrivens","11-12","TOR","G",12,671.62,34.84,358.07,509.31,34.02,90.27,93.16,93.32,-0.16,-3.85,-0.82
"Ben Scrivens","12-13","TOR","G",20,1024.85,45.72,538.19,755.54,41.94,91.5,93.95,94.45,-0.5,1.69,-3.78
"Ben Scrivens","13-14","EDM","G",21,1234.88,63.7,762.51,1082.6,69.43,91.65,94.12,93.59,0.53,1.87,5.73
"Ben Scrivens","13-14","L.A","G",19,975.23,31.44,458.45,646.41,40.16,93.14,95.14,93.79,1.35,7.98,8.72
"Ben Scrivens","14-15","EDM","G",57,3227.57,172.18,1566.14,2211.76,140.02,89.01,92.22,93.67,-1.45,-38.63,-32.16
"Ben Scrivens","15-16","MTL","G",15,821.97,41.13,453.04,604.66,37.85,90.92,93.2,93.74,-0.54,-2.53,-3.28
"Brad Thiessen","11-12","PIT","G",5,257.73,16.13,115.68,169.67,9.51,86.06,90.49,94.4,-3.9,-6.12,-6.62
"Braden Holtby","10-11","WSH","G",14,735.98,21.64,326.01,443.62,27.09,93.36,95.12,93.89,1.23,6.8,5.45
"Braden Holtby","11-12","WSH","G",7,360.57,15.53,187.55,254.15,16.64,91.72,93.89,93.45,0.44,0.71,1.11
"Braden Holtby","12-13","WSH","G",36,2089.23,90.11,1113.37,1468.37,91.17,91.91,93.86,93.79,0.07,7.95,1.06
"Braden Holtby","13-14","WSH","G",48,2656.33,126.15,1480.65,2020.28,123.13,91.48,93.76,93.91,-0.15,1.17,-3.02
