"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Robin Lehner","18-19","NYI","G",46,2615.82,92.17,1305.48,1797.44,111.07,92.94,94.87,93.82,1.05,25.52,18.9
"Robin Lehner","19-20","CHI","G",33,1874.95,93.51,1142.54,1427.75,96.63,91.82,93.45,93.23,0.22,9.73,3.12
"Robin Lehner","19-20","VGK","G",3,180,4.81,79.95,106.31,6.61,93.98,95.48,93.78,1.69,2.41,1.8
"Robin Lehner","20-21","VGK","G",19,1155.32,44.29,502.36,719.63,49.64,91.18,93.85,93.1,0.74,1.94,5.35
"Robin Lehner","21-22","VGK","G",44,2546.65,120.79,1291.01,1716.16,130.6,90.64,92.96,92.39,0.57,-0.97,9.81
"Ryan Miller","07-08","BUF","G",75,4413.77,196.59,2086.2,2854.3,169.86,90.58,93.11,94.05,-0.94,-6.66,-26.73
"Ryan Miller","08-09","BUF","G",59,3443.25,144.19,1750.55,2412.96,138.21,91.76,94.02,94.27,-0.25,15.98,-5.98
"Ryan Miller","09-10","BUF","G",69,4047.38,149.61,2081.39,2860.06,174.69,92.81,94.77,93.89,0.88,35.04,25.08
"Ryan Miller","10-11","BUF","G",66,3829.3,164.31,1953.51,2698.1,161.96,91.59,93.91,94,-0.09,6.1,-2.35
"Ryan Miller","11-12","BUF","G",61,3536.42,149.7,1773.46,2424.03,147.48,91.56,93.82,93.92,-0.09,3.79,-2.22
"Ryan Miller","12-13","BUF","G",40,2302.23,108.52,1280.75,1759.61,112.16,91.53,93.83,93.63,0.21,4.29,3.64
"Ryan Miller","13-14","BUF","G",40,2383.78,109.95,1457.5,1975.26,115.2,92.46,94.43,94.17,0.27,15.38,5.25
"Ryan Miller","13-14","STL","G",19,1116.5,46.85,482.07,681.18,41.11,90.28,93.12,93.96,-0.84,-5.4,-5.74
"Ryan Miller","14-15","VAN","G",45,2541.47,108.07,1186.48,1666.11,104.82,90.89,93.51,93.71,-0.2,-6.89,-3.25
"Ryan Miller","15-16","VAN","G",51,3043.45,136.92,1636.2,2193.99,143.41,91.63,93.76,93.46,0.3,2.48,6.49
"Ryan Miller","16-17","VAN","G",54,3211.75,151.75,1775.54,2363.52,148.71,91.45,93.58,93.71,-0.13,1.75,-3.04
"Ryan Miller","17-18","ANA","G",28,1353.27,51.35,722.87,999.17,66.44,92.9,94.86,93.35,1.51,12.05,15.09
"Ryan Miller","18-19","ANA","G",20,1108.8,51.17,579.44,814.91,53.61,91.17,93.72,93.42,0.3,1.07,2.44
"Ryan Miller","19-20","ANA","G",23,1235.82,61.06,675.73,924.23,60.99,90.96,93.39,93.4,-0.01,0,-0.07
