"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"242","Chris Kunitz","PIT","L","48","7.1333333333333","0","5","0.00","0","3","0.00","0","2","0.00","0","0","-","0","0.13","0.00","0","2","0.00","0","0","-","0","0","-","0","2","0.00","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","1","4","5","12","16.67","1","6","6","14.29"
"253","Steve Bernier","N.J","R","47","2.7833333333333","0","4","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0.05","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","2","0.00","0","0","-","-","100.00","1.00","0","1","1","5","0.00","0","1","1","0.00"
"275","Clarke MacArthur","TOR","L","40","2.4333333333333","0","3","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.02","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","1","0","0","4","100.00","1","0","1","50.00"
"303","Dustin Penner","L.A","R","33","0.5","0","2","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0.41","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","2","-","0","0","0","-"
"304","Alex Ovechkin","WSH","L","48","3.4","0","5","0.00","0","4","0.00","0","3","0.00","0","1","0.00","0","0.43","0.00","0","2","0.00","0","1","0.00","0","0","-","0","1","0.00","0","0","-","0","2","0.00","0","1","0.00","-","66.67","0.67","1","3","1","7","50.00","2","3","1","66.67"
"305","Evgeni Malkin","PIT","C","31","1","0","2","0.00","0","2","0.00","0","0","-","0","0","-","0","0.19","0.00","0","2","0.00","0","1","0.00","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","-","-","-","2","2","1","4","66.67","2","2","1","66.67"
"311","Kyle Chipchura","PHX","C","46","1.35","0","2","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.13","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","1","2","0.00","0","1","1","0.00"
"314","Wojtek Wolski","WSH","L","27","0.05","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"332","Tyler Kennedy","PIT","C","46","2.8333333333333","0","4","0.00","0","3","0.00","0","1","0.00","0","0","-","0","0.15","0.00","0","2","0.00","0","0","-","0","0","-","0","2","0.00","0","0","-","0","2","0.00","0","0","-","-","100.00","1.00","1","0","0","2","100.00","1","0","0","100.00"
"333","JT Wyman","T.B","R","1","1.55","0","2","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.04","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","1","1","0","0.00","0","1","1","0.00"
"337","Patrick Bordeleau","COL","L","46","0.58333333333333","0","4","0.00","0","3","0.00","0","3","0.00","0","0","-","0","0.48","0.00","0","3","0.00","0","2","0.00","0","0","-","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","0","2","-","0","0","0","-"
"345","Mike Brown","EDM, TOR","R","39","3.9333333333333","0","8","0.00","0","6","0.00","0","4","0.00","0","2","0.00","0","0.33","0.00","0","3","0.00","0","0","-","0","0","-","0","3","0.00","0","1","0.00","0","5","0.00","0","1","0.00","-","50.00","0.50","1","0","1","4","50.00","1","0","1","50.00"
"354","Aaron Gagnon","WPG","C","10","5.7666666666667","0","10","0.00","0","7","0.00","0","6","0.00","0","0","-","0","0.43","0.00","0","5","0.00","0","1","0.00","0","0","-","0","4","0.00","0","0","-","0","5","0.00","0","0","-","-","100.00","1.00","0","2","3","5","0.00","0","2","4","0.00"
"362","Mike Blunden","MTL","R","5","0.28333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.11","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","1","0.00","0","0","-","0","0","-","-","0.00","0.00","0","0","0","1","-","0","0","0","-"
"371","Devin Setoguchi","MIN","R","48","1.6333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.05","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","0","1","-","0","0","2","0.00"
"380","Joe Finley","NYI","D","16","4.45","0","8","0.00","0","5","0.00","0","5","0.00","0","2","0.00","0","0.75","0.00","0","5","0.00","0","3","0.00","0","1","0.00","0","2","0.00","0","1","0.00","0","2","0.00","0","0","-","-","60.00","0.60","0","1","1","5","0.00","0","1","1","0.00"
"401","Derek Joslin","VAN","D","2","2.2666666666667","0","7","0.00","0","4","0.00","0","4","0.00","0","1","0.00","0","0.59","0.00","0","3","0.00","0","1","0.00","0","1","0.00","0","2","0.00","0","0","-","0","4","0.00","0","0","-","-","75.00","0.75","0","0","1","3","0.00","0","0","1","0.00"
"403","Nick Drazenovic","CBJ","C","8","7.65","0","18","0.00","0","15","0.00","0","13","0.00","0","2","0.00","0","1.63","0.00","0","10","0.00","0","6","0.00","0","1","0.00","0","4","0.00","0","1","0.00","0","8","0.00","0","0","-","-","84.62","0.85","1","0","6","7","14.29","1","0","6","14.29"
"406","Joe Vitale","PIT","C","33","4.3333333333333","0","4","0.00","0","2","0.00","0","1","0.00","0","0","-","0","0.16","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","0","0","3","4","0.00","0","1","4","0.00"
"410","Kevin Henderson","NSH","L","4","1.6166666666667","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","2","1","0.00","0","0","3","0.00"
"411","Mike Angelidis","T.B","L","1","0.43333333333333","0","3","0.00","0","3","0.00","0","2","0.00","0","1","0.00","0","0.11","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","2","0.00","0","1","0.00","-","50.00","0.50","0","0","3","0","0.00","0","0","3","0.00"
"422","Michael Caruso","FLA","D","2","4","0","9","0.00","0","7","0.00","0","4","0.00","0","0","-","0","0.45","0.00","0","4","0.00","0","0","-","0","0","-","0","4","0.00","0","0","-","0","4","0.00","0","0","-","-","100.00","1.00","0","0","3","4","0.00","0","0","5","0.00"
"428","Kyle Okposo","NYI","R","48","6.8666666666667","0","9","0.00","0","8","0.00","0","5","0.00","0","1","0.00","0","0.76","0.00","0","4","0.00","0","2","0.00","0","1","0.00","0","2","0.00","0","0","-","0","5","0.00","0","0","-","-","80.00","0.80","0","1","6","4","0.00","0","1","6","0.00"
"434","Milan Lucic","BOS","L","46","1.5166666666667","0","2","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0.2","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","1","6","-","0","1","0","-"
"443","Peter Mueller","FLA","C","43","1.7833333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.14","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","-","0.00","0.00","1","1","0","10","100.00","1","1","0","100.00"
"447","Viktor Stalberg","CHI","L","47","2.3666666666667","0","2","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.05","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","1","0","3","-","0","1","0","-"
"465","Benn Ferriero","NYR","R","4","0.75","0","2","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.16","0.00","0","2","0.00","0","1","0.00","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","3","-","0","0","0","-"
"468","Jonathan Rheault","FLA","R","5","0.18333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.12","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","1","-","0","0","0","-"
"476","John Scott","BUF","L","34","1.0666666666667","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"483","Teddy Purcell","T.B","L","48","1.9166666666667","0","6","0.00","0","4","0.00","0","1","0.00","0","0","-","0","0.42","0.00","0","3","0.00","0","1","0.00","0","0","-","0","2","0.00","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","0","0","0","5","-","0","1","0","-"
"491","Ian Cole","STL","D","15","3.9333333333333","0","4","0.00","0","2","0.00","0","1","0.00","0","0","-","0","0.16","0.00","0","3","0.00","0","0","-","0","0","-","0","3","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","1","1","8","0.00","0","1","1","0.00"
"499","Paul Byron","CGY","L","4","2.5166666666667","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0.03","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","-","-","1","0","2","2","33.33","1","0","2","33.33"
"507","Paul Postma","WPG","D","34","2.6333333333333","0","3","0.00","0","3","0.00","0","1","0.00","0","0","-","0","0.19","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","2","0.00","0","0","-","-","100.00","1.00","0","0","1","5","0.00","0","2","1","0.00"
"514","Dwight King","L.A","L","47","1.1166666666667","0","4","0.00","0","3","0.00","0","2","0.00","0","0","-","0","0.6","0.00","0","4","0.00","0","2","0.00","0","0","-","0","2","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","1","0","5","-","0","1","0","-"
"518","Yannick Weber","MTL","D","6","1.8833333333333","0","6","0.00","0","6","0.00","0","5","0.00","0","2","0.00","0","0.41","0.00","0","2","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","4","0.00","0","1","0.00","-","60.00","0.60","0","0","0","4","-","0","0","0","-"
"521","Dustin Jeffrey","PIT","L","24","4.7333333333333","0","5","0.00","0","5","0.00","0","2","0.00","0","0","-","0","0.39","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0","-","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","0","1","5","4","0.00","0","1","6","0.00"
"523","Robert Bortuzzo","PIT","D","15","9.7833333333333","0","13","0.00","0","10","0.00","0","7","0.00","0","0","-","0","0.73","0.00","0","4","0.00","0","2","0.00","0","0","-","0","2","0.00","0","0","-","0","8","0.00","0","0","-","-","100.00","1.00","0","0","4","12","0.00","0","0","4","0.00"
"526","Max Pacioretty","MTL","L","44","4.95","0","4","0.00","0","3","0.00","0","3","0.00","0","1","0.00","0","0.17","0.00","0","2","0.00","0","0","-","0","0","-","0","2","0.00","0","1","0.00","0","2","0.00","0","0","-","-","66.67","0.67","2","1","5","18","28.57","2","1","8","20.00"
"527","Jakub Voracek","PHI","R","48","3.0166666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.45","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","1","0.00","-","0.00","0.00","1","1","0","4","100.00","1","2","1","50.00"
"529","Jonathon Blum","NSH","D","35","3.2833333333333","0","8","0.00","0","6","0.00","0","5","0.00","0","2","0.00","0","0.5","0.00","0","3","0.00","0","2","0.00","0","1","0.00","0","1","0.00","0","0","-","0","4","0.00","0","1","0.00","-","60.00","0.60","0","1","1","3","0.00","0","1","2","0.00"
"535","Wayne Simmonds","PHI","R","45","3.2166666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.45","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","1","0.00","-","0.00","0.00","0","1","0","9","-","0","1","1","0.00"
"536","Matt Frattin","TOR","R","25","0.85","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.06","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","0","4","-","0","0","0","-"
"563","Tyler Ennis","BUF","L","47","2.8333333333333","0","2","0.00","0","2","0.00","0","1","0.00","0","0","-","0","0.22","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","1","2","2","6","33.33","3","2","2","60.00"
"566","Cody Goloubef","CBJ","D","11","0.41666666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.04","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","1","0.00","-","0.00","0.00","0","0","0","1","-","0","0","0","-"
"575","Jimmy Hayes","CHI","R","10","0.63333333333333","0","2","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","2","0.00","0","0","-","-","-","-","0","1","0","2","-","0","1","1","0.00"
"586","Andrei Loktionov","N.J","C","28","1.3666666666667","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","-","-","0","1","1","5","0.00","0","1","1","0.00"
"590","Mark Olver","COL","C","32","2.3","0","3","0.00","0","2","0.00","0","0","-","0","0","-","0","0.09","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","2","0.00","0","0","-","-","-","-","0","1","2","2","0.00","0","2","2","0.00"
"597","Ben Smith","CHI","R","1","1.5166666666667","0","5","0.00","0","5","0.00","0","3","0.00","0","0","-","0","0.47","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","4","0.00","0","0","-","-","100.00","1.00","0","0","0","2","-","0","0","0","-"
