"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Nick Schmaltz","25-26","UTA","C",68,970.1,60.28,56.12,55.8,55.77,54.68,3.49,2.3,28.64,22.39,43.64,34.57,60.04,47.62,2.97,2.46,1.19,6.25,9.08,12.42,0.51,12.19,89.72
"Nick Seeler","25-26","PHI","D",64,1000.47,38.63,51.04,49.47,47.83,50.02,1.71,2.72,24.64,23.63,38.57,39.41,52.53,57.3,2.59,2.58,-1.01,1.01,-0.83,-4.77,0,6.95,88.49
"Nick Suzuki","25-26","MTL","C",66,973.37,61.24,54.76,55,52.6,52.93,3.49,2.21,28.69,23.71,44.93,36.76,60.99,54.96,2.98,2.65,1.28,4.98,8.17,6.03,0.33,12.17,90.68
"Nico Hischier","25-26","N.J","C",67,982.53,40.7,51,51.83,52.29,52.19,1.78,2.59,29.06,27.93,44.86,41.69,62.77,57.27,3.19,2.93,-0.81,1.14,3.17,5.49,0.27,6.12,90.72
"Nico Sturm","25-26","MIN","C",43,383.2,40.67,47.41,46.34,44.18,49.23,1.57,2.3,23.36,25.92,37.74,43.69,51.69,65.3,2.46,2.54,-0.72,-2.55,-5.95,-13.62,-0.08,6.74,91.14
"Nicolas Deslauriers","25-26","PHI","L",24,193.6,28.55,44.71,47.38,44.93,47.46,0.6,1.5,17.46,21.59,30.2,33.55,40.93,50.16,1.8,1.99,-0.9,-4.13,-3.34,-9.24,-0.19,3.43,93.07
"Nicolas Hague","25-26","NSH","D",52,887.2,45.46,45.9,47,49.42,50.25,2.34,2.8,25.09,29.57,39.59,44.63,57.41,58.75,2.94,2.91,-0.47,-4.49,-5.05,-1.35,0.03,9.32,90.52
"Nicolas Roy","25-26","COL","C",6,69.82,22.76,46.58,44.87,49.2,49.59,0.81,2.74,21.63,24.81,34.11,41.91,53.49,55.23,2.62,2.66,-1.93,-3.18,-7.8,-1.74,-0.04,3.73,88.95
"Nicolas Roy","25-26","TOR","C",59,702.15,50.47,43.37,44.61,44.89,44.51,2.69,2.64,22,28.73,35.86,44.52,51.25,62.91,2.23,2.77,0.05,-6.73,-8.66,-11.66,-0.55,12.22,90.81
"Nikita Chibrikov","25-26","WPG","R",8,73.27,50.99,36.73,42.48,44.51,32.01,2.52,2.42,13.32,22.94,28.8,39,47.53,59.25,1.06,2.24,0.1,-9.62,-10.2,-11.73,-1.19,18.94,89.43
"Nikita Grebenkin","25-26","PHI","R",52,574.33,41.05,48.64,46.36,46.94,45.27,1.75,2.51,22.07,23.3,33.27,38.5,48.15,54.44,2.19,2.65,-0.76,-1.24,-5.23,-6.29,-0.46,7.92,89.23
"Nikita Kucherov","25-26","T.B","R",61,887.77,63.95,53.97,56.02,55.79,56.95,4.64,2.61,31.61,26.96,50.8,39.88,67.31,53.33,3.71,2.8,2.02,4.65,10.92,13.98,0.9,14.67,90.3
