"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"250","Steve Reinprecht","FLA","C","82","216.81666666667","303","50","85.84","232","46","83.45","167","34","83.08","16","3","84.21","19.22","3.34","85.21","135","30","81.82","54","13","80.60","11","1","91.67","81","17","82.65","4","1","80.00","150","17","89.82","1","0","100.00","9.58","91.18","1.008","79","22","8","136","90.80","129","36","13","90.85"
"814","Matt Duchene","COL","C","81","246.43333333333","385","64","85.75","273","58","82.48","215","41","83.98","36","4","90.00","27.94","4.05","87.35","189","28","87.10","94","12","88.68","21","1","95.45","95","16","85.59","5","1","83.33","173","24","87.82","10","1","90.91","16.74","90.24","1.070","121","31","2","80","98.37","220","55","7","96.92"
"259","Ron Hainsey","ATL","D","80","97.35","162","27","85.71","128","24","84.21","99","19","83.90","8","1","88.89","10.76","1.75","86.01","75","16","82.42","30","8","78.95","2","0","100.00","45","8","84.91","3","1","75.00","79","10","88.76","3","0","100.00","8.08","94.74","1.028","57","19","7","52","89.06","97","24","17","85.09"
"351","Marek Svatos","COL","R","54","110.5","156","26","85.71","107","22","82.95","89","19","82.41","9","3","75.00","11.07","1.08","91.11","85","10","89.47","43","2","95.56","5","1","83.33","42","8","84.00","1","2","33.33","64","12","84.21","3","0","100.00","10.11","84.21","0.943","46","10","1","74","97.87","73","19","5","93.59"
"390","Boyd Gordon","WSH","C","36","4.3666666666667","6","1","85.71","5","1","83.33","4","1","80.00","0","0","-","0.63","0.02","97.53","3","1","75.00","3","0","100.00","0","0","-","0","1","0.00","0","0","-","3","0","100.00","0","0","-","0.00","100.00","1.000","3","0","2","5","60.00","4","1","3","57.14"
"577","Patrick Kaleta","BUF","R","55","5.45","6","1","85.71","6","1","85.71","3","1","75.00","0","0","-","0.57","0.05","91.22","4","1","80.00","4","0","100.00","0","0","-","0","1","0.00","0","0","-","2","0","100.00","0","0","-","0.00","100.00","1.000","2","5","0","14","100.00","4","5","1","80.00"
"583","Mark Mancari","BUF","R","6","12.283333333333","12","2","85.71","11","2","84.62","9","1","90.00","0","0","-","0.7","0.14","83.25","5","2","71.43","4","1","80.00","0","0","-","1","1","50.00","0","0","-","6","0","100.00","0","0","-","0.00","100.00","1.000","3","0","3","6","50.00","6","0","4","60.00"
"714","Artem Anisimov","NYR","C","82","58.9","84","14","85.71","63","13","82.89","49","9","84.48","5","0","100.00","6.86","1.29","84.14","55","12","82.09","28","5","84.85","4","0","100.00","27","7","79.41","1","0","100.00","25","2","92.59","0","0","-","10.20","100.00","1.102","22","12","6","51","78.57","27","14","14","65.85"
"749","Logan Couture","S.J","C","25","9.3","18","3","85.71","15","3","83.33","7","3","70.00","2","0","100.00","1.26","0.18","87.23","10","1","90.91","4","1","80.00","0","0","-","6","0","100.00","2","0","100.00","8","2","80.00","0","0","-","28.57","100.00","1.286","5","2","0","11","100.00","6","2","1","85.71"
"778","Jesse Winchester","OTT","C","52","6.5","6","1","85.71","4","1","80.00","2","1","66.67","1","0","100.00","0.24","0.03","89.17","4","0","100.00","1","0","100.00","1","0","100.00","3","0","100.00","0","0","-","2","1","66.67","0","0","-","50.00","100.00","1.500","6","1","0","9","100.00","6","1","1","85.71"
"815","Evander Kane","ATL","L","66","22.283333333333","30","5","85.71","24","5","82.76","19","4","82.61","0","0","-","1.96","0.33","85.66","14","4","77.78","5","1","83.33","0","0","-","9","3","75.00","0","0","-","15","1","93.75","0","0","-","0.00","100.00","1.000","9","9","3","23","75.00","13","12","3","81.25"
"500","Toby Enstrom","ATL","D","82","373.75","497","83","85.69","364","70","83.87","259","50","83.82","32","1","96.97","32.82","5.34","86.00","213","48","81.61","88","21","80.73","14","1","93.33","125","27","82.24","5","0","100.00","256","27","90.46","13","0","100.00","12.36","98.00","1.104","145","30","0","43","100.00","283","55","8","97.25"
"28","Roman Hamrlik","MTL","D","75","173.55","281","47","85.67","230","39","85.50","169","33","83.66","20","4","83.33","20.8","2.48","89.34","141","23","85.98","66","13","83.54","13","3","81.25","75","10","88.24","2","1","66.67","130","12","91.55","5","0","100.00","11.83","87.88","0.997","73","16","4","103","94.81","125","31","11","91.91"
"430","Eric Staal","CAR","C","70","294.38333333333","481","81","85.59","358","69","83.84","239","49","82.99","36","4","90.00","37.47","5.32","87.57","261","41","86.42","123","23","84.25","20","2","90.91","138","18","88.46","10","1","90.91","201","25","88.94","6","0","100.00","15.06","91.84","1.069","133","35","2","53","98.52","274","63","11","96.14"
"790","Zach Bogosian","ATL","D","81","135.91666666667","202","34","85.59","161","29","84.74","117","22","84.17","9","1","90.00","14.38","2.33","86.06","87","24","78.38","41","11","78.85","2","0","100.00","46","13","77.97","1","1","50.00","104","9","92.04","6","0","100.00","7.69","95.45","1.031","72","21","12","57","85.71","115","31","19","85.82"
"797","Erik Karlsson","OTT","D","60","201.76666666667","296","50","85.55","219","44","83.27","160","33","82.90","15","2","88.24","18.72","2.68","87.47","127","24","84.11","52","7","88.14","6","2","75.00","75","17","81.52","2","0","100.00","159","15","91.38","7","0","100.00","9.38","93.94","1.033","85","18","6","47","93.41","160","39","11","93.57"
"432","Thomas Vanek","BUF","L","71","257.71666666667","443","75","85.52","327","65","83.42","233","52","81.75","35","1","97.22","32.61","4.63","87.57","218","38","85.16","111","19","85.38","25","1","96.15","107","19","84.92","6","0","100.00","200","27","88.11","4","0","100.00","15.02","98.08","1.131","142","26","3","52","97.93","255","55","6","97.70"
"108","Derek Morris","BOS, PHX","D","76","172.48333333333","271","46","85.49","203","37","84.58","156","33","82.54","21","2","91.30","17.22","1.85","90.31","101","15","87.07","54","6","90.00","13","1","92.86","47","9","83.93","3","0","100.00","151","18","89.35","5","0","100.00","13.46","93.94","1.074","101","21","8","72","92.66","154","48","19","89.02"
