Row,Player,Season,Team,Position,GP,TOI,G,A1,A2,PTS,SOG,SA,SAT,xG,SH%_G,SH%_SOG,SH%_SAT,G_SOG,G_SA,G_SAT,HIT,PIM,BLK,GVA,TKA,FOW,FOL,FO_Diff,OZS,DZS
701,Shea Theodore,25-26,VGK,D,52,1224.67,7,10,12,29,100,146,240,6.16,7,4.79,4.22,73,60,15,0,74,7,7,0,0,0,0,0,0
702,Sidney Crosby,25-26,PIT,C,56,1096.88,27,21,11,59,132,190,240,20.15,20.45,14.21,10.61,23,61,22,50,29,14,13,0,0,-1,649,522,127
703,Simon Benoit,25-26,TOR,D,56,962.47,0,0,4,4,38,62,102,2.16,0,0,3.48,85,50,9,151,105,17,12,1,1,-5,0,0,0
704,Simon Edvinsson,25-26,DET,D,54,1217.78,8,6,6,20,65,100,157,5.6,12.31,8,5.6,117,65,21,70,115,28,12,1,1,-16,0,0,0
705,Simon Holmstrom,25-26,NYI,R,62,1033.05,14,11,8,33,75,130,159,13.43,18.67,10.77,10.33,41,42,18,10,58,8,13,0,0,5,3,11,-8
706,Simon Nemec,25-26,N.J,D,50,986.33,9,7,5,21,77,117,198,4.84,11.69,7.69,4.14,69,56,20,14,63,11,7,0,0,-4,0,0,0
707,Sonny Milano,25-26,WSH,L,31,275.07,4,4,0,8,30,45,56,4.26,13.33,8.89,9.47,3,19,4,9,21,2,3,0,0,1,8,4,4
708,Spencer Stastney,25-26,EDM,D,31,500.52,1,0,0,1,25,38,55,0.8,4,2.63,2.11,33,39,10,8,49,4,1,0,0,-3,0,0,0
709,Spencer Stastney,25-26,NSH,D,30,446.02,1,6,2,9,30,42,67,1.21,3.33,2.38,2.88,25,22,9,5,32,5,8,0,0,3,0,0,0
710,Stefan Noesen,25-26,N.J,R,38,446.82,3,2,2,7,52,74,93,9.5,5.77,4.05,12.84,15,23,3,33,26,9,4,3,3,-5,17,16,1
711,Stephen Halliday,25-26,OTT,C,28,229.17,4,5,2,11,30,40,51,3.93,13.33,10,9.83,8,15,2,28,27,1,2,0,0,1,24,38,-14
712,Steven Lorentz,25-26,TOR,C,56,654.93,4,5,5,14,52,74,90,6.89,7.69,5.41,9.31,35,28,14,117,51,1,3,0,0,2,42,42,0
713,Steven Santini,25-26,T.B,D,9,104.03,0,1,0,1,3,6,16,0.1,0,0,1.67,6,4,0,7,10,1,0,0,0,-1,0,0,0
714,Steven Stamkos,25-26,NSH,C,63,1113.58,30,9,11,50,151,219,300,25.48,19.87,13.7,11.63,25,54,21,71,34,18,12,0,0,-6,225,177,48
715,Tage Thompson,25-26,BUF,C,64,1225.33,34,25,11,70,223,328,441,28.48,15.25,10.37,8.68,39,57,23,63,59,11,16,1,1,5,322,386,-64
716,Tanner Jeannot,25-26,BOS,L,59,775.23,6,8,7,21,64,100,149,10.09,9.38,6,10.09,45,36,5,179,64,12,6,7,7,-6,8,10,-2
717,Tanner Laczynski,25-26,VGK,C,10,107.7,0,4,1,5,12,17,24,1.39,0,0,8.18,5,5,3,2,9,2,2,0,0,0,38,40,-2
718,Tanner Pearson,25-26,WPG,L,52,566,7,3,3,13,49,74,95,6.31,14.29,9.46,8.53,26,26,6,68,27,10,4,1,1,-6,4,16,-12
719,Taylor Hall,25-26,CAR,L,63,895.68,14,13,8,35,107,161,215,16.55,13.08,8.7,10.28,25,54,18,39,125,15,17,0,0,2,17,24,-7
720,Taylor Makar,25-26,COL,L,12,74.52,0,0,0,0,7,9,15,0.77,0,0,8.56,1,1,1,17,9,2,0,0,0,-2,0,2,-2
721,Taylor Raddysh,25-26,NYR,R,59,707.18,9,5,3,17,44,73,89,6.85,20.45,12.33,9.38,33,20,13,46,29,5,3,0,0,-2,3,12,-9
722,Taylor Ward,25-26,L.A,R,20,216.67,2,1,2,5,29,50,67,3.7,6.9,4,7.4,7,14,1,22,6,0,1,0,0,1,2,5,-3
723,Teddy Blueger,25-26,VAN,C,16,259.43,6,1,4,11,28,36,47,2.87,21.43,16.67,7.97,5,17,2,34,17,2,0,0,0,-2,96,117,-21
724,Teuvo Teravainen,25-26,CHI,C,56,1016.52,13,10,7,30,71,112,150,8.95,18.31,11.61,7.99,33,53,20,17,33,2,5,0,0,3,41,54,-13
725,Thomas Chabot,25-26,OTT,D,47,1034.72,6,13,8,27,83,125,213,4.53,7.23,4.8,3.62,92,42,22,31,63,9,6,0,0,-3,0,0,0
726,Thomas Harley,25-26,DAL,D,51,1178.87,5,12,10,27,83,128,219,6.09,6.02,3.91,4.76,108,62,30,33,112,8,4,0,0,-4,0,0,0
727,Thomas Novak,25-26,PIT,C,63,870.03,14,16,6,36,96,150,186,14.2,14.58,9.33,9.47,23,40,21,10,111,11,4,0,0,-7,135,194,-59
728,Tim Stützle,25-26,OTT,C,62,1266.1,30,19,18,67,155,218,283,23.62,19.35,13.76,10.83,39,77,26,95,82,14,28,1,1,14,282,244,38
729,Tim Washe,25-26,ANA,C,20,234.93,1,1,1,3,18,31,38,3.04,5.56,3.23,9.81,17,8,7,47,22,2,3,0,0,1,121,85,36
730,Timo Meier,25-26,N.J,R,59,1096.1,17,8,6,31,209,337,429,29.98,8.13,5.04,8.9,38,53,22,107,76,9,13,0,0,4,51,63,-12
