Row,Player,Season,Team,Position,GP,TOI,G,A1,A2,PTS,SOG,SA,SAT,xG,SH%_G,SH%_SOG,SH%_SAT,G_SOG,G_SA,G_SAT,HIT,PIM,BLK,GVA,TKA,FOW,FOL,FO_Diff,OZS,DZS
410,Jonas Siegenthaler,23-24,N.J,D,57,1102.3,1,3,5,9,63,88,151,2.83,1.59,1.14,3.22,97,30,9,84,119,10,5,0,1,-4,0,0,0
411,Jonatan Berggren,23-24,DET,R,12,130.33,2,1,3,6,14,20,23,1.35,14.29,10,6.75,7,0,3,2,9,1,6,0,0,5,0,0,0
412,Jonathan Drouin,23-24,COL,L,79,1436.63,19,19,18,56,127,185,249,15.97,14.96,10.27,8.63,33,30,38,41,78,14,11,0,0,-3,44,41,3
413,Jonathan Gruden,23-24,PIT,C,13,112.75,1,0,0,1,9,12,14,0.94,11.11,8.33,7.83,5,3,3,36,15,0,1,1,1,1,4,8,-4
414,Jonathan Huberdeau,23-24,CGY,C,81,1411.18,12,26,14,52,143,209,279,19.54,8.39,5.74,9.35,37,66,52,60,75,17,19,1,0,1,15,16,-1
415,Jonathan Marchessault,23-24,VGK,R,82,1467.37,42,17,10,69,266,355,484,32.73,15.79,11.83,9.22,23,37,47,106,95,20,11,0,0,-9,6,18,-12
416,Jonny Brodzinski,23-24,NYR,C,57,634.27,6,5,8,19,89,127,175,7.47,6.74,4.72,5.88,24,17,19,33,54,4,8,0,0,4,162,161,1
417,Jordan Eberle,23-24,SEA,R,78,1360.67,17,18,9,44,168,243,313,23.25,10.12,7,9.57,23,20,59,30,97,6,12,1,1,6,31,42,-11
418,Jordan Greenway,23-24,BUF,L,67,1155.72,10,10,8,28,106,150,198,12.21,9.43,6.67,8.14,64,21,30,134,54,22,10,2,2,-12,17,40,-23
419,Jordan Harris,23-24,MTL,D,56,978.43,3,6,5,14,43,64,97,1.54,6.98,4.69,2.41,86,22,13,29,103,11,7,0,1,-3,0,0,0
420,Jordan Kyrou,23-24,STL,C,82,1503.18,31,22,14,67,251,365,506,27.13,12.35,8.49,7.43,32,53,51,27,107,11,14,0,0,3,3,6,-3
421,Jordan Martinook,23-24,CAR,L,82,1201.05,14,11,7,32,148,237,296,18.32,9.46,5.91,7.73,36,18,32,59,117,18,18,0,0,0,48,47,1
422,Jordan Oesterle,23-24,CGY,D,22,297.38,0,2,0,2,18,24,44,0.86,0,0,3.58,33,6,4,22,36,2,2,0,0,0,0,0,0
423,Jordan Spence,23-24,L.A,D,71,1024.27,2,13,9,24,80,112,198,3.95,2.5,1.79,3.53,55,18,6,67,97,6,3,0,0,-3,0,0,0
424,Jordan Staal,23-24,CAR,C,80,1230.3,10,7,13,30,123,175,230,16.65,8.13,5.71,9.51,41,28,25,140,77,22,12,0,0,-10,799,576,223
425,Josh Anderson,23-24,MTL,R,78,1206.15,9,7,4,20,141,224,277,21.14,6.38,4.02,9.44,40,20,21,166,74,22,28,4,4,6,15,16,-1
426,Josh Brown,23-24,ARI,D,51,752.32,3,4,3,10,44,57,83,1.94,6.82,5.26,3.4,85,8,8,113,69,15,7,5,5,-8,0,0,0
427,Josh Doan,23-24,ARI,R,11,135.38,5,2,2,9,23,31,37,4.28,21.74,16.13,13.81,7,1,9,7,15,0,2,0,0,2,5,7,-2
428,Josh Mahura,23-24,FLA,D,30,377.77,0,3,6,9,25,33,48,0.96,0,0,2.91,27,6,3,40,60,10,8,0,0,-2,0,0,0
429,Josh Manson,23-24,COL,D,76,1351.5,8,9,8,25,123,178,296,6.58,6.5,4.49,3.7,109,43,46,211,99,26,16,5,4,-11,0,1,-1
430,Josh Morrissey,23-24,WPG,D,81,1958.77,10,28,31,69,196,292,447,12.47,5.1,3.42,4.27,103,42,45,92,94,22,21,0,1,0,0,0,0
431,Josh Norris,23-24,OTT,C,50,881.87,16,3,11,30,115,154,208,12.91,13.91,10.39,8.38,30,27,22,85,73,11,17,0,0,6,328,301,27
432,Joshua Roy,23-24,MTL,R,23,279.23,4,4,1,9,34,62,77,4.52,11.76,6.45,7.29,21,5,9,12,14,0,1,0,0,1,2,5,-3
433,Julien Gauthier,23-24,NYI,R,27,274.58,5,2,2,9,32,43,58,3.3,15.62,11.63,7.67,17,5,3,63,21,4,4,0,0,0,3,5,-2
434,Juraj Slafkovsky,23-24,MTL,L,82,1470.73,20,19,11,50,152,226,314,22.11,13.16,8.85,9.78,71,42,34,147,150,25,11,1,1,-14,10,10,0
435,Justin Bailey,23-24,S.J,R,59,665.58,5,6,3,14,70,101,142,5.91,7.14,4.95,5.85,29,10,20,69,46,3,12,0,0,9,6,11,-5
436,Justin Barron,23-24,MTL,D,48,894.1,7,2,4,13,60,92,140,4.06,11.67,7.61,4.41,59,33,6,61,66,9,3,0,1,-5,0,0,0
437,Justin Brazeau,23-24,BOS,R,19,211.23,5,1,1,7,31,44,47,4.52,16.13,11.36,10.27,12,3,3,40,23,1,2,0,0,1,3,7,-4
438,Justin Danforth,23-24,CBJ,R,71,1013.43,10,8,8,26,87,143,175,14.32,11.49,6.99,10.01,46,12,27,107,83,8,10,0,0,2,173,184,-11
439,Justin Faulk,23-24,STL,D,60,1317.73,2,16,12,30,132,177,264,7.44,1.52,1.13,4.2,104,35,35,81,49,12,2,1,1,-10,0,0,0
440,Justin Holl,23-24,DET,D,38,573.12,0,2,3,5,14,27,47,0.6,0,0,2.22,39,18,7,59,74,11,2,0,0,-9,0,0,0
441,Justin Schultz,23-24,SEA,D,70,1153.12,7,8,11,26,100,163,267,5.24,7,4.29,3.21,68,12,17,25,70,11,1,0,0,-10,0,0,0
442,Juuso Parssinen,23-24,NSH,C,44,642.38,8,0,4,12,54,71,95,9.64,14.81,11.27,13.58,15,15,16,62,44,6,16,0,0,10,78,130,-52
443,Juuso Valimaki,23-24,ARI,D,68,1298.38,2,6,9,17,69,119,164,4.19,2.9,1.68,3.52,90,26,13,70,143,6,12,0,0,6,0,0,0
444,K'Andre Miller,23-24,NYR,D,80,1724.98,8,5,17,30,96,152,241,8.25,8.33,5.26,5.43,117,34,57,145,76,17,12,1,1,-5,0,0,0
445,Kaapo Kakko,23-24,NYR,R,61,810.03,13,4,2,19,91,129,170,8.36,14.29,10.08,6.48,18,16,17,27,59,12,8,0,0,-4,13,10,3
446,Kaedan Korczak,23-24,VGK,D,26,429.13,1,3,5,9,32,45,81,1.06,3.12,2.22,2.36,31,12,4,43,34,4,1,0,0,-3,0,0,0
447,Kaiden Guhle,23-24,MTL,D,70,1459.55,6,7,9,22,96,128,190,4.51,6.25,4.69,3.52,178,43,25,111,147,23,9,2,2,-14,0,0,0
448,Kailer Yamamoto,23-24,SEA,R,59,707.5,8,4,4,16,61,87,108,9.62,13.11,9.2,11.06,18,6,25,31,73,9,7,0,0,-2,38,69,-31
449,Kasperi Kapanen,23-24,STL,R,73,1050.05,6,11,5,22,99,149,185,9.97,6.06,4.03,6.69,28,16,37,64,68,7,11,0,0,4,13,25,-12
450,Keegan Kolesar,23-24,VGK,R,79,858.2,8,7,3,18,73,105,141,7.41,10.96,7.62,7.06,41,20,22,272,118,12,5,5,5,-7,6,10,-4
451,Kent Johnson,23-24,CBJ,C,42,568.75,6,6,4,16,62,86,119,6.74,9.68,6.98,7.84,16,7,16,9,28,5,5,0,0,0,8,12,-4
452,Kevin Bahl,23-24,N.J,D,82,1426.52,1,5,5,11,63,97,166,2.37,1.59,1.03,2.44,103,24,19,150,112,31,8,2,2,-23,0,0,0
453,Kevin Fiala,23-24,L.A,L,82,1478.87,29,21,23,73,225,343,467,26.63,12.89,8.45,7.76,28,57,45,60,103,26,18,0,0,-8,10,28,-18
454,Kevin Hayes,23-24,STL,R,79,1142.88,13,5,11,29,153,207,271,17.53,8.5,6.28,8.47,17,31,41,42,32,6,23,0,0,17,478,360,118
455,Kevin Korchinski,23-24,CHI,D,76,1490.83,5,4,6,15,93,134,226,3.32,5.38,3.73,2.48,82,72,23,23,102,10,4,0,0,-6,0,0,0
456,Kevin Labanc,23-24,S.J,R,46,534.62,2,4,3,9,60,84,115,5.38,3.33,2.38,6.4,17,10,5,55,30,8,4,0,1,-3,6,14,-8
457,Kevin Rooney,23-24,CGY,C,33,370.12,3,0,1,4,27,32,45,3.28,11.11,9.38,10.25,29,9,8,63,33,1,5,0,0,4,97,111,-14
458,Kevin Shattenkirk,23-24,BOS,D,61,962.58,6,14,4,24,79,104,180,3.01,7.59,5.77,2.89,85,18,13,63,113,9,3,0,0,-6,0,0,0
459,Kevin Stenlund,23-24,FLA,C,81,1020.93,11,3,1,15,81,104,142,8.68,13.58,10.58,8.35,55,14,36,81,113,26,8,0,0,-18,429,406,23
460,Kiefer Sherwood,23-24,NSH,L,68,827.58,10,11,6,27,109,165,216,11.05,9.17,6.06,6.7,22,18,35,230,88,13,14,3,3,1,15,16,-1
461,Kirill Kaprizov,23-24,MIN,L,75,1618.27,46,33,17,96,277,414,582,38.95,16.61,11.11,9.41,38,73,38,52,82,18,24,0,1,7,0,1,-1
462,Kirill Marchenko,23-24,CBJ,R,78,1280.28,23,12,7,42,193,262,359,21.06,11.92,8.78,8.04,39,28,49,51,100,7,15,0,0,8,26,53,-27
463,Klim Kostin,23-24,DET,C,33,287.4,3,1,0,4,22,36,46,2.53,13.64,8.33,7.03,5,10,2,59,29,9,8,2,2,-1,4,2,2
464,Klim Kostin,23-24,S.J,C,19,279.88,5,3,2,10,21,31,42,2.01,23.81,16.13,6.48,11,5,7,44,7,5,6,1,1,1,4,10,-6
465,Kris Letang,23-24,PIT,D,82,2024.45,10,18,23,51,164,239,416,7.51,6.1,4.18,3.14,136,64,47,133,129,27,16,0,0,-11,0,0,0
466,Kurtis MacDermid,23-24,COL,D,29,147.63,2,0,0,2,12,16,18,1.24,16.67,12.5,7.75,9,7,2,53,16,9,4,1,1,-5,2,0,2
467,Kurtis MacDermid,23-24,N.J,L,16,69.85,0,1,0,1,4,5,9,0.13,0,0,2.6,2,0,1,27,4,5,0,4,4,-5,0,0,0
